station_name,zip,city,latitude,longitude,open_date,nearest_dist1,nearest_dist2,is_far1,is_far2,is_really_far
ILANI 1B-1 DUAL,98642,Ridgefield,45.853153000000006,-122.70891,,0.0021908378314890236,0.004222870555384336,0,0,0
INSIGNIA 953 218 219,98121,Seattle,47.616537,-122.342701,,0.0026885232909246307,0.004227215951714648,0,0,0
KING COUNTY DOT BURIEN P&R #2,98166,Burien,47.469359000000004,-122.33877,,0.001356986734805405,0.004326284060862114,0,0,0
NBK Bangor / N68436-B1100-1,98383,Silverdale,47.720932,-122.74569699999999,2021-01-15,0.00424707036281218,0.004456459552181362,0,0,0
CAPITAL GATEWAY STATION 4,98501,Olympia,47.035855,-122.89478600000001,,0.002276367103606222,0.004492796990377559,0,0,0
ES - S&E URBAN WATERS #4,98421,Tacoma,47.25953,-122.4337,,0.003801129616283902,0.004527940312362534,0,0,0
KRC SKYLINE SKYLINE #3,98004,Bellevue,47.614305,-122.194097,,0.0037017363179134796,0.004531163789602099,0,0,0
KRC SKYLINE SKYLINE #2,98004,Bellevue,47.614334,-122.19401,,0.0013276613327060157,0.004531163789602099,0,0,0
BELLEVUE SQUARE BELL SQ WEST 5,98004,Bellevue,47.615922999999995,-122.20553000000001,,0.0013848713268183005,0.004699925417447707,0,0,0
LINCOLN SQUARE LS NORTH DUAL 3,98004,Bellevue,47.616363,-122.201035,,0.0036042080543880273,0.004775154285331318,0,0,0
HUDSON NRTHVIEW STATION 4,98036,Lynnwood,47.810125,-122.294145,,0.002188720200047388,0.004806044154423968,0,0,0
HUDSON NRTHVIEW STATION 3,98036,Lynnwood,47.81013,-122.294248,,0.003286610779204133,0.004806044154423968,0,0,0
Campbell Nissan - Everett,98204,Everett,47.90272981640562,-122.2469883724914,2011-03-15,0.0,0.004815297754987911,0,0,0
Campbell Nissan - Everett,98204,Everett,47.90272981640562,-122.2469883724914,2011-03-15,0.0,0.004815297754987911,0,0,0
NISSAN-EVERETT DC STATION 1,98204,Everett,47.90271,-122.246889,,0.00314173316519105,0.004815297754987911,0,0,0
BELLEVUE SQUARE BELL SQ WEST #2,98004,Bellevue,47.616037,-122.205528,,0.0031865191518428383,0.004839615814323368,0,0,0
INSIGNIA 953 214 215,98121,Seattle,47.616628999999996,-122.342611,,0.00339329704895739,0.004842677138015456,0,0,0
STADIUMPLACE NEW STATION 7,98104,Seattle,47.597577,-122.332632,,0.003505394110210507,0.004880756690634676,0,0,0
